2019/2020;21;Si;20;6;3;Si;Nido d'infanzia;"Nido d'infanzia ""Chicco di grano""";BLOKXRHWWEABBCCZ;FARRA D'ISONZO;via Trieste;Attivo;3;34070;Attivo;2.1 Alto Isontino;3|FARRA D'ISONZO|via Trieste;via Trieste 3 FARRA D'ISONZO
2019/2020;4;Si;5;0;;No;Nido d'infanzia;Pronti, Partenza, Via!!!;X4V5D1FIA0X2HZCE;UDINE;Oderzo;Attivo;22/2;33100;Attivo;4.5 Udine;22/2|UDINE|Oderzo;Oderzo 22/2 UDINE
2019/2020;28;No;33;;;No;Nido d'infanzia;ABC per la prima infanzia;8PJA1LAKZQ41ETN0;CIVIDALE DEL FRIULI;Via Udine;Attivo;8;33043;Attivo;4.3 Cividale;8|CIVIDALE DEL FRIULI|Via Udine;Via Udine 8 CIVIDALE DEL FRIULI
2019/2020;18;Si;11;2;2;Si;Servizio integrativo;Servizio Integrativo;GWMLR3QCHXQ70V25;GRADISCA D'ISONZO;via Garibaldi;Attivo;8;34072;Attivo;2.1 Alto Isontino;8|GRADISCA D'ISONZO|via Garibaldi;via Garibaldi 8 GRADISCA D'ISONZO
2019/2020;29;Si;27;8;4;Si;Nido d'infanzia;Asilo Nido Consortile NIP;751YES0TCK113S34;MANIAGO;Via Venezia;Attivo;18/G;33085;Attivo;6.4 Maniago;18/G|MANIAGO|Via Venezia;Via Venezia 18/G MANIAGO
2019/2020;34;No;27;;5;Si;Nido d'infanzia;"Scuola Materna ""Maria Immacolata"" - Nido  Pollicino";ALY3447NEJOBFWAP;FIUME VENETO;Piazza E. Fermi;Attivo;10;33080;Attivo;6.3 Azzano Decimo;10|FIUME VENETO|Piazza E. Fermi;Piazza E. Fermi 10 FIUME VENETO
2019/2020;40;Si;40;10;4;Si;Nido d'infanzia;L'Aquilone;WIINO4XKWXM275XX;RONCHI DEI LEGIONARI;via Stagni;Attivo;5;34077;Attivo;2.2 Basso Isontino;5|RONCHI DEI LEGIONARI|via Stagni;via Stagni 5 RONCHI DEI LEGIONARI
2019/2020;22;No;22;;3;Si;Nido d'infanzia;Nido La torre delle Favole;N6V3A4OWB0Q3ULWL;TRIESTE;San Francesco d'Assisi;Attivo;15;34133;Attivo;1.2 Trieste;15|TRIESTE|San Francesco d'Assisi;San Francesco d'Assisi 15 TRIESTE
2019/2020;13;No;14;;2;Si;Nido d'infanzia;"""Mondo Incantato""";T8O92BMDPFKUAI12;TRIESTE;Battisti;Attivo;5;34125;Attivo;1.2 Trieste;5|TRIESTE|Battisti;Battisti 5 TRIESTE
2019/2020;24;Si;22;2;2;Si;Nido d'infanzia;Nido d'infanzia Arca di Noè;HUP9182VLM5LTO0Z;LATISANA;Via D. Manin 33  (fr. Gorgo);Attivo;33;33053;Attivo;5.2 Latisana;33|LATISANA|Via D. Manin 33  (fr. Gorgo);Via D. Manin 33  (fr. Gorgo) 33 LATISANA
2019/2020;66;Si;62;79;6;Si;Nido d'infanzia;"Nido d'Infanzia ""Acquerello""";VX6JYP4EXFRRXSYG;TRIESTE;Puccini;Attivo;46;34148;Attivo;1.2 Trieste;46|TRIESTE|Puccini;Puccini 46 TRIESTE
2019/2020;24;No;8;;;No;Nido d'infanzia;"Nido integrato ""Erminia Linda""";FCRI8LG14IY69I0T;UDINE;Via Mistruzzi;Attivo;19;33100;Attivo;4.5 Udine;19|UDINE|Via Mistruzzi;Via Mistruzzi 19 UDINE
2019/2020;14;Si;14;2;;No;Nido d'infanzia;"Nido integrato ""Paola di Rosa""";6D4FGRMYT88LXPYV;UDINE;via molin nuovo 5 paderno;Attivo;5;33100;Attivo;4.5 Udine;5|UDINE|via molin nuovo 5 paderno;via molin nuovo 5 paderno 5 UDINE
2019/2020;30;No;30;;2;Si;Nido d'infanzia;Asilo nido Filippo Renati;SZDGTVIX9F3B3281;UDINE;Via S. Valentino ;Attivo;23/25;33100;Attivo;4.5 Udine;23/25|UDINE|Via S. Valentino ;Via S. Valentino  23/25 UDINE
2019/2020;66;Si;66;52;6;Si;Nido d'infanzia;"Nido integrato alla Scuola dell'Infanzia ""Colibrì""";RZ8FOSVTSGHALE8Y;TRIESTE;Curiel;Attivo;2;34148;Attivo;1.2 Trieste;2|TRIESTE|Curiel;Curiel 2 TRIESTE
